id,ruta,lon,lat
169,5FEBRERO,-100.4017123,20.584911625
170,5FEBRERO,-100.3958262,20.586947579
171,5FEBRERO,-100.3871151,20.589847263
172,BERNARDOQ,-100.4404057,20.615505363
173,BERNARDOQ,-100.4374285,20.616022676
174,BERNARDOQ,-100.4357593,20.616370006
175,BERNARDOQ,-100.4329067,20.616838647
176,BERNARDOQ,-100.4308871,20.617203671
177,BERNARDOQ,-100.4291566,20.617497218
178,BERNARDOQ,-100.4303584,20.620436265
179,BERNARDOQ,-100.4296896,20.620710060
180,BERNARDOQ,-100.4283254,20.620963597
181,BERNARDOQ,-100.4270779,20.621179598
182,BERNARDOQ,-100.4261706,20.621815544
183,BERNARDOQ,-100.4254964,20.622346758
184,BERNARDOQ,-100.4249322,20.622449608
185,BERNARDOQ,-100.424262,20.622364307
186,BERNARDOQ,-100.4209068,20.621858530
187,BERNARDOQ,-100.4198428,20.621699673
188,BERNARDOQ,-100.4163304,20.621177923
189,BERNARDOQ,-100.413789,20.620454943
190,BERNARDOQ,-100.411323,20.619678047
191,BERNARDOQ,-100.4081033,20.618681544
192,BERNARDOQ,-100.4058272,20.617937655
193,BERNARDOQ,-100.4037573,20.617289087
194,BERNARDOQ,-100.4025718,20.617009865
195,BERNARDOQ,-100.4019703,20.616910359
196,BERNARDOQ,-100.3984683,20.616775098
197,BERNARDOQ,-100.3959809,20.616693421
198,BERNARDOQ,-100.3918146,20.616522597
199,BERNARDOQ,-100.3893245,20.616068513
200,BERNARDOQ,-100.3875365,20.615174338
201,BERNARDOQ,-100.3857733,20.613957443
202,BERNARDOQ,-100.3838097,20.612444484
203,BERNARDOQ,-100.381644,20.610690411
204,BERNARDOQ,-100.3800742,20.609452496
205,BERNARDOQ,-100.3791374,20.608413680
206,BERNARDOQ,-100.3784375,20.607405776
207,BERNARDOQ,-100.3779842,20.606563439
208,BERNARDOQ,-100.3771479,20.604269006
209,BERNARDOQ,-100.3764884,20.602278644
210,BERNARDOQ,-100.3764956,20.602278650
211,BERNARDOQ,-100.3761383,20.601040015
212,BERNARDOQ,-100.3758548,20.600360736
213,BERNARDOQ,-100.3752569,20.599541857
